Station,Flow (MMSCFD),T (degF),P (psig)
C-101,0.987,123,639
C-102,2.462,137,663
C-103,0.379,112,688
C-104,0.317,109,667
C-105,0.924,127,611
C-106,0.637,166,652
C-107,1.518,129,677
C-108,6.722,123,618
C-109,0.908,139,745
C-110,1.746,116,782
C-111,0.427,91,793
C-112,1.223,109,778
C-113,0.757,92,659
C-114,3.453,120,620
C-115,2.572,113,840
C-117,2.734,79,335
C-118,0.648,85,650
C-119,0.706,85,650
